ticker
DGE.L
BATS.L
GOOGL
NKE
KHC
EL
TROW
SAB.MC
VRLA.PA
MC.PA
BAYN.DE
PEP
LYB
LDA.MC
LLN.MC
LOG.MC
VID.MC
CBAV.MC
REP.MC
HEN.DE
GAW.L
SDR.L
0001.HK
AMZN
NESN.SW
RAND.AS
OR.PA
NOVO-B.CO
OTCM
BAM
HSY
PETS.L
LMT
PLD
ARE
CTRE
SWKS
MRK
BMY
UNH
ABF.L
CGEO.L
MNDI.L
BBVA.MC
SAN.MC
CABK.MC
VIS.MC
ITX.MC
TEF.MC
IBE.MC
PHM.MC
IAG.MC
AMT
O
WPC
MO
PM
FTF
PG
SBUX
MMM
UL
MDLZ
JNJ
CVS
ABBV
HUM
NVDA
MSFT
AAPL
TSLA
PLTR
BABA
ARM
AMD
UPS
FDX
V
MA
1910.HK
2678.HK
1810.HK
0590.HK
0700.HK
JPM
DB
CELH
AVGO
ASML.AS
TSM
BRBY.L
KER.PA
MONC.MI
TAP
CAG
KO
MCD
CRDA.L
STZ
BF-A
ABNB
TSN
MKC
EBRO.MC
GIS
RIO.L
